ID mall,Mois,CA par entrée
5,2023-01,0.603467502728765
5,2023-02,0.5783938697100034
5,2023-03,0.5880515570138146
5,2023-04,0.6385090513924274
5,2023-05,0.6281774780858139
5,2023-06,0.5866021711879774
5,2023-07,0.651973127020463
5,2023-08,0.5614485900732265
5,2023-09,0.6008749117081509
5,2023-10,0.6105776687071789
5,2023-11,0.6169851060272027
5,2023-12,0.5752612017659113
5,2024-01,0.5986211552221068
5,2024-02,0.49861146354687386
5,2024-03,0.6358230432965273
5,2024-04,0.5729432300812752
5,2024-05,0.5209727458723465
5,2024-06,0.5787172059814296
5,2024-07,0.5640114032837213
5,2024-08,0.5515843312277249
5,2024-09,0.3943319815595921
5,2024-10,0.5934403253837349
5,2024-11,0.5714714419916093
10,2023-01,0.4847610284611777
10,2023-02,0.4877907816789481
10,2023-03,0.4850066232832887
10,2023-04,0.5027070430593576
10,2023-05,0.4742834623992577
10,2023-06,0.526011496922541
10,2023-07,0.5559871730723253
10,2023-08,0.49024806332934945
10,2023-09,0.39758138940492543
10,2023-10,0.5560177718336837
10,2023-11,0.649692753840464
10,2023-12,0.642391163237041
10,2024-01,0.4698007081505227
10,2024-02,0.48043711907038933
10,2024-03,0.47091119760419026
10,2024-04,0.42472113615292356
10,2024-05,0.4269569963847072
10,2024-06,0.49979740770475445
10,2024-07,0.49139608989389044
10,2024-08,0.413081787146617
10,2024-09,0.4293028150944802
10,2024-10,0.44847550890347465
10,2024-11,0.46666470495590967
11,2023-01,0.7767610721723057
11,2023-02,0.8114741606889839
11,2023-03,0.7471364062428981
11,2023-04,0.7332062636733668
11,2023-05,0.7089474040617033
11,2023-06,0.7653391118523594
11,2023-07,0.713142951969853
11,2023-08,0.6333039907066186
11,2023-09,0.6696791757989917
11,2023-10,0.6417422912564256
11,2023-11,0.7143996675943265
11,2023-12,0.7359802067814998
11,2024-01,0.6360557847181301
11,2024-02,0.5894944009463725
11,2024-03,0.6336360583752091
11,2024-04,0.6099842868152789
11,2024-05,0.6292714820536921
11,2024-06,0.7155615013555703
11,2024-07,0.6374882477044934
11,2024-08,0.5397515151830475
11,2024-09,0.5530999853939271
11,2024-10,0.5739100380141574
11,2024-11,0.7078463654444962
19,2023-01,0.7256869822429294
19,2023-02,0.7172212635148033
19,2023-03,0.7050290958832437
19,2023-04,0.6764405582713449
19,2023-05,0.6584319166333754
19,2023-06,0.706943866389685
19,2023-07,0.6190734581053255
19,2023-08,0.6636581162157851
19,2023-09,0.7154709312003751
19,2023-10,0.6710055801479389
19,2023-11,0.7351859874231391
19,2023-12,0.8775927477276901
19,2024-01,0.7620668767318897
19,2024-02,0.7730016894251105
19,2024-03,0.7553736026936028
19,2024-04,0.7155191837513192
19,2024-05,0.7333421852281313
